frame,angle,count
0,149.45656260932444,0
1,150.70991065398746,0
2,152.11910718787757,0
3,152.34235634734847,0
4,151.87404337490483,0
5,151.00075980969464,0
6,145.14780630215742,0
7,135.9798896350428,0
8,128.258065807687,0
9,121.28318556943813,0
10,115.71891601271984,0
11,99.42477006588454,0
12,90.63868322404635,0
13,83.90951465228177,0
14,74.68456981135283,0
15,65.62563510908659,1
16,54.73028672970176,1
17,48.96837714644233,1
18,43.925617493652545,1
19,41.51515700147578,1
20,37.9586962545395,1
21,36.307944072488404,1
22,36.54505548092462,1
23,37.232813796233245,1
24,4.851560231968229,1
25,22.36200617436409,1
26,32.14631754356321,1
27,32.28787871822225,1
28,36.08961471267285,1
29,37.70672278662889,1
30,43.06731833430404,1
31,47.671142105275095,1
32,51.82005360839579,1
33,51.49966554882198,1
34,53.93491292786422,1
35,57.89046873004853,1
36,64.25261852251408,1
37,70.52350453905542,1
38,77.30954391282987,1
39,81.74203264713454,1
40,86.06660415833981,1
41,89.39529332356324,1
42,94.13833087231102,1
43,96.5578179677742,1
44,101.08271952089358,1
45,106.32980318960081,1
46,107.90439080395355,1
47,144.17725085524964,1
48,134.77357277998277,1
49,127.59372992340707,1
50,124.1760646548514,1
51,124.68311819725427,1
52,125.87890251914544,1
53,125.88909056229781,1
54,126.55473406063555,1
55,127.64681991471087,1
56,129.4633295249553,1
57,132.05207526174812,1
58,134.27591316106972,1
59,142.1713904235086,1
60,145.3160539452898,1
61,145.9491044539316,1
62,148.2989686968452,1
63,159.7263399780633,1
64,156.08434201993833,1
65,148.38134457804236,1
66,142.13645253681057,1
67,138.76874513361852,1
68,128.6236561299437,1
69,178.2372747261099,1
70,114.57205723896432,1
71,95.31619082213972,1
72,86.90932685411819,1
73,81.24686061693768,1
74,72.5050262308719,1
75,66.11580623678213,2
76,56.519592474772466,2
77,49.440250412066234,2
78,45.43451524194823,2
79,42.0350352987868,2
80,42.03387522011389,2
81,41.691148323458485,2
82,42.605322889095184,2
83,43.288414193434996,2
84,45.66885431726664,2
85,45.382476697482915,2
86,45.309842442812524,2
87,45.587881852813595,2
88,49.49228325363708,2
89,53.813166795392014,2
90,56.187114023675115,2
91,60.07301835661904,2
92,61.855537055332434,2
93,64.63149832792035,2
94,66.96984535265346,2
95,70.74048894601025,2
96,72.96654362495549,2
97,76.17186913505324,2
98,77.95362934277674,2
99,82.64150774717396,2
100,84.53156828791148,2
101,84.34900111727126,2
102,87.79156620357179,2
103,89.73236355108149,2
104,91.45395125763208,2
105,92.29392334598444,2
106,96.46950784885344,2
107,99.16967496047592,2
108,104.09357601758462,2
109,164.94705999605802,2
110,107.31501252351546,2
111,113.82547068688638,2
112,108.21279762187524,2
113,114.6420042014439,2
114,117.09121981263696,2
115,150.45971872388577,2
116,127.45406186190087,2
117,127.71239087853206,2
118,127.31327091060555,2
119,136.033693467282,2
120,153.77992233511506,2
121,130.64437283296854,2
122,130.18600448493308,2
123,141.05818843681712,2
124,142.2771053060064,2
125,144.59467391838092,2
126,145.33606610443118,2
127,146.11677749925275,2
128,147.23148604858798,2
129,149.772367155975,2
130,150.8179536926087,2
131,152.56655201973007,2
132,154.0862512477262,2
133,157.9481261562159,2
134,161.2716520908477,2
135,161.8131381955754,2
136,161.06006750676144,2
137,161.18495231581335,2
138,160.912185451549,2
139,160.8547146841674,2
140,161.3306468601025,2
141,160.71394843782682,2
142,158.87560446119545,2
143,154.32501045008829,2
144,151.17555578343075,2
145,143.45875609583908,2
146,140.85708127684288,2
147,132.35988548024608,2
148,121.74647795085669,2
149,107.12256460095425,2
150,88.94211998767946,2
151,82.26466997826928,2
152,73.73717331665499,2
153,61.97186275925964,3
154,54.40097253871719,3
155,47.98950352976909,3
156,44.788381888153914,3
157,41.819803054404524,3
158,42.273131545415175,3
159,39.831393975984746,3
160,39.429492876195155,3
161,41.87211693158422,3
162,41.66798761354363,3
163,42.102739807940516,3
164,43.256276964845846,3
165,43.41962463423689,3
166,43.66090615767288,3
167,45.752706096400054,3
168,47.97744903491333,3
169,51.14337267553366,3
170,54.89341681623034,3
171,57.145377618836136,3
172,57.17280715580695,3
173,59.54425284117288,3
174,59.259875779823616,3
175,62.11779181369835,3
176,66.8046813963631,3
177,72.84884083976668,3
178,76.7425540962412,3
179,80.15925957644305,3
180,83.39702262901987,3
181,87.42423249756936,3
182,90.55312963208425,3
183,92.85481247039553,3
184,94.48850089376448,3
185,100.99985852897687,3
186,140.68542379789284,3
187,81.16777750576541,3
188,132.23587241549993,3
189,163.36500064650048,3
190,114.45902762640897,3
191,136.8692489956356,3
192,149.27807405317404,3
193,128.8618131657882,3
194,131.55886414060635,3
195,131.64846723605731,3
196,133.88597173339892,3
197,133.25769431600068,3
198,141.4130210525086,3
199,143.73989389144356,3
200,146.73760271737876,3
201,146.94320562815406,3
202,149.6318244121928,3
203,151.82298567471733,3
204,153.79160268434208,3
205,155.17807676605278,3
206,155.2664144796572,3
207,156.46344106936263,3
208,155.763656590057,3
209,155.78052262927704,3
210,155.43265462519042,3
211,155.4984258440682,3
212,154.92365691916328,3
213,155.57170364915262,3
214,156.55741639890525,3
215,157.58612325256345,3
216,161.81725958821448,3
217,162.11547880737447,3
218,162.3941245192015,3
219,162.53797567009428,3
220,162.74016309340908,3
221,162.41853590385097,3
222,160.4174189818614,3
223,156.43099221552254,3
224,151.25088902295056,3
225,148.44129693136477,3
226,142.60048446346752,3
227,134.88781889435597,3
228,120.56966167112286,3
229,112.99603514436315,3
230,97.51068114773422,3
231,87.34102002014963,3
232,80.91072116477646,3
233,68.9054500618261,4
234,60.6055950695166,4
235,53.82587890005506,4
236,49.7129813864366,4
237,46.10255970339836,4
238,44.1770515331697,4
239,43.743370587901815,4
240,44.473915971770516,4
241,43.18324660910146,4
242,42.94003154901196,4
243,44.30763462872679,4
244,45.57216726929174,4
245,45.91657780139404,4
246,45.452785751534485,4
247,46.476091536539506,4
248,49.245386616633176,4
249,51.850839199338544,4
250,54.52740297340543,4
251,55.37815406789836,4
252,58.09302574656572,4
253,62.530106747050496,4
254,63.78025051320715,4
255,66.87390632036357,4
256,68.85600453341873,4
257,73.0525962381625,4
258,75.76388189846175,4
259,79.06544423681854,4
260,80.68282357209621,4
261,82.70348848457567,4
262,87.14436877314067,4
263,88.9885812068991,4
264,89.67333959638677,4
265,91.64552762390795,4
266,93.6584114055684,4
267,123.61679207759717,4
268,112.22514798216662,4
269,114.9765964468014,4
270,116.71977959275246,4
271,178.10547700975044,4
272,128.86822214041007,4
273,126.25367094526099,4
274,132.51212682836453,4
275,136.24031590535836,4
276,132.2515607563522,4
277,147.81989852567025,4
278,142.17116139254227,4
279,144.11926741260962,4
280,145.47617903088477,4
281,147.44653862355602,4
282,148.6786284579522,4
283,150.6017098261569,4
284,155.38970591257643,4
285,157.40295585517586,4
286,158.4555791696943,4
287,160.14942353558746,4
288,158.87070000459636,4
289,159.95917999438393,4
290,161.00859819375438,4
291,159.5837118230501,4
292,159.4678279343316,4
293,159.54299596645927,4
294,158.8140315877382,4
295,156.20636666885366,4
296,151.65796440148185,4
297,146.64077170591415,4
298,140.46135128019338,4
299,134.95381233201914,4
300,132.24933488317427,4
301,164.26593256859294,4
302,113.89939028132858,4
303,98.9310892750045,4
304,84.96407721186007,4
305,80.40393302585852,4
306,71.92854350616165,4
307,63.28193709238852,5
308,57.32020699082891,5
309,51.105901965893636,5
310,47.157331636944924,5
311,43.17176316769036,5
312,42.06698149910107,5
313,40.838236802726556,5
314,40.19787103621852,5
315,36.515138828039966,5
316,36.477481209102635,5
317,38.985681753549734,5
318,40.334906938647286,5
319,42.48910598743788,5
320,44.061109759411174,5
321,47.1297336120279,5
322,48.907837051684425,5
323,50.47323958429664,5
324,53.48380702214179,5
325,53.34567075184327,5
326,54.99192106413905,5
327,59.23750437178423,5
328,60.94876115755917,5
329,63.46749087133343,5
330,67.22580365297992,5
331,69.42961856597235,5
332,74.2056549617229,5
333,76.00434839228892,5
334,81.36073247196474,5
335,84.13153572715878,5
336,88.28787988965306,5
337,92.2915573436517,5
338,93.3033439773581,5
339,95.45191202527349,5
340,100.01100042623104,5
341,105.57106280312505,5
342,116.84226179536641,5
343,122.69618080543752,5
344,128.05285561235908,5
345,141.79027242390328,5
346,139.72878422534492,5
347,141.77712626070087,5
348,147.28817430322607,5
349,153.16182958795588,5
350,151.80434788483643,5
351,146.28558988724564,5
352,143.6319955891243,5
353,134.57027595660955,5
354,135.60818278579336,5
355,97.56440200612536,5
356,173.22103101467522,5
357,135.71366532159607,5
358,134.77121550511677,5
359,134.5896561076764,5
360,118.12602915749305,5
361,149.4952847794734,5
362,146.22898974133747,5
