frame,angle,count
0,117.04586187844482,0
1,115.92640159959016,0
2,106.77223541731318,0
3,99.26107794343066,0
4,90.42063857053412,0
5,82.28996756110021,0
6,72.19761128498047,0
7,58.66844810794799,1
8,48.079940291910404,1
9,42.1801974176931,1
10,43.585945667963216,1
11,43.253351898052394,1
12,43.32614830769182,1
13,42.367698040385775,1
14,50.82073585697585,1
15,61.68388927096671,1
16,69.19936679457025,1
17,76.79328578609243,1
18,84.49251906766905,1
19,93.14540681883089,1
20,99.90462269782672,1
21,106.54235623276462,1
22,110.57333467680571,1
23,114.21737520793093,1
24,119.14730160482324,1
25,122.46188112090418,1
26,125.82324502117757,1
27,128.3099847563181,1
28,128.47803261712204,1
29,128.7518391857512,1
30,127.73563014417415,1
31,127.15350825666945,1
32,125.60709222962483,1
33,119.66848636880964,1
34,112.57107332069809,1
35,104.58102414752541,1
36,95.27377170554155,1
37,83.59897384446435,1
38,75.73149082533594,1
39,65.26159898960675,1
40,53.36051096847406,2
41,44.47520459589826,2
42,41.626300616527196,2
43,40.681227600768494,2
44,40.14430185654434,2
45,39.982583845942415,2
46,42.38847387365778,2
47,48.46006970957404,2
48,58.92780300832939,2
49,66.93343460717276,2
50,73.40747709900049,2
51,81.38594877784705,2
52,92.38475183486301,2
53,96.03986882700585,2
54,103.97022884302856,2
55,109.77379062808086,2
56,117.61617213990844,2
57,124.31406810911913,2
58,130.71345323051221,2
59,137.18148515584096,2
60,139.69868182297995,2
61,140.4865535041504,2
62,139.07986033606568,2
63,137.07228020681833,2
64,135.13161293673087,2
65,126.73778166511471,2
66,119.35667945201125,2
67,108.78854791015813,2
68,95.19364355237735,2
69,84.61757642578999,2
70,78.6484898608766,2
71,64.91316243546716,2
72,53.86265087450966,3
73,47.417484775173456,3
74,45.245111501513584,3
75,41.721309466526726,3
76,39.21537317029319,3
77,39.628107648806086,3
78,41.54274200579894,3
79,47.486298728661204,3
80,53.62328346252669,3
81,60.880214689277025,3
82,68.19579873698275,3
83,77.7929721552922,3
84,86.08518946919536,3
85,92.79875586848499,3
86,99.63705172987915,3
87,108.01787117919726,3
88,116.72494676635657,3
89,122.70582767026777,3
90,130.1224111570809,3
91,135.81194536713127,3
92,140.47850524839112,3
93,141.13511063031575,3
94,142.68127418784618,3
95,140.5458538377138,3
96,137.80557572580568,3
97,135.55863606920082,3
98,128.0118025677383,3
99,120.61655550291462,3
100,110.2803132983982,3
101,99.75891596930785,3
102,87.89974370101764,3
103,80.04324046137559,3
104,69.53657505899272,3
105,55.51899529549213,4
106,46.765674416650995,4
107,45.16630583334754,4
108,46.388196137660955,4
109,41.253295211047494,4
110,42.85884925441181,4
111,40.77300286398095,4
112,47.02517886871951,4
113,54.853400985290016,4
114,65.89663165070085,4
115,73.17422091993107,4
116,81.66996264994837,4
117,92.14019020835391,4
118,99.5588365498402,4
119,105.9903967925195,4
120,114.0794668051289,4
121,123.24108077112936,4
122,129.8551504806027,4
123,134.53937568861068,4
124,140.0687852542263,4
125,143.99274183449904,4
126,143.89341141131723,4
127,145.0667710258995,4
128,143.33116245509316,4
129,140.92761611166554,4
130,137.24486155587115,4
131,130.2076430614269,4
132,121.62096761354101,4
133,112.04203813721688,4
134,101.83708561564244,4
135,91.52883398341805,4
136,81.31888025376323,4
137,70.92313161162777,4
138,55.47146513884186,5
139,46.75726069342476,5
140,42.73107514679373,5
141,41.53192079855925,5
142,38.535306580666045,5
143,40.69629287324227,5
144,43.45157136818653,5
145,48.562461590209296,5
146,61.6640559431188,5
147,70.52983143088967,5
148,77.44576112792599,5
149,87.573456951382,5
150,94.00584514335846,5
151,101.73352657719282,5
152,108.53035273352677,5
153,115.4316999908745,5
154,123.28781081342456,5
155,129.88813968410875,5
156,134.44393788722826,5
157,139.0149385724099,5
158,141.0468438943395,5
159,144.7140846499647,5
160,144.94313779030483,5
161,143.18943580355082,5
162,139.39645902760486,5
163,133.49274997885533,5
164,125.03865411733675,5
165,118.79058746182068,5
166,108.913661890526,5
167,97.13790457568187,5
168,85.97757683366075,5
169,78.52634390889624,5
170,68.24090772542245,5
171,57.86698295402749,6
172,49.245180234719754,6
173,42.269509528659476,6
174,43.613815210875096,6
175,43.104470024877386,6
176,43.49429966948888,6
177,46.14132702159978,6
178,51.38834135264603,6
179,57.70152621545973,6
180,71.80479484527238,6
181,78.79996934426904,6
182,88.8767825454101,6
183,97.29822493293895,6
184,103.07819262922318,6
185,108.76228093254454,6
186,114.34658562481027,6
187,120.58335675542058,6
188,126.27997302741906,6
189,130.71171823476774,6
190,134.47649958023854,6
191,138.2740973771592,6
192,138.9924852405081,6
193,138.58478526019522,6
194,137.89314856388816,6
195,137.41758986921803,6
196,136.26388977542774,6
197,128.72823892393566,6
198,121.78665567135202,6
